"cohort","proxy","n_samples","r_squared_against_other_proxies","vif_like","note"
"GSE111782","macrophage_marker",18,0.848297543479587,6.59185106778704,"VIF-like diagnostic for marker-score collinearity, not a formal deconvolution metric."
"GSE111782","vsmc_marker",18,0.778523774626732,4.51515731909659,"VIF-like diagnostic for marker-score collinearity, not a formal deconvolution metric."
"GSE111782","endothelial_marker",18,0.687006724091549,3.19495681527834,"VIF-like diagnostic for marker-score collinearity, not a formal deconvolution metric."
"GSE111782","fibroblast_marker",18,0.913233830451264,11.5252293053954,"VIF-like diagnostic for marker-score collinearity, not a formal deconvolution metric."
"GSE111782","broad_inflammation_marker_nonoverlap",18,0.849623725758231,6.64998521237625,"VIF-like diagnostic for marker-score collinearity, not a formal deconvolution metric."
"GSE311535","macrophage_marker",12,0.798173662660006,4.95475473211116,"VIF-like diagnostic for marker-score collinearity, not a formal deconvolution metric."
"GSE311535","vsmc_marker",12,0.885416223470265,8.72723897122117,"VIF-like diagnostic for marker-score collinearity, not a formal deconvolution metric."
"GSE311535","endothelial_marker",12,0.321004226803526,1.47276321808654,"VIF-like diagnostic for marker-score collinearity, not a formal deconvolution metric."
"GSE311535","fibroblast_marker",12,0.624677883819127,2.66437802860007,"VIF-like diagnostic for marker-score collinearity, not a formal deconvolution metric."
"GSE311535","broad_inflammation_marker_nonoverlap",12,0.784394153484016,4.63809315080825,"VIF-like diagnostic for marker-score collinearity, not a formal deconvolution metric."
